ebs_version_label,ebs_version_short_label,ebs_version_fcr_label,ebs_version_description
11iMBL,11iMBL,11.5.10MBL,11.5.10 Minimum Baseline
11.5.10.2,11510,11.5.10.2,11.5.10.2
12.0.4,1204,12.0.4,12.0.4
12.0.6,1206,12.0.6,12.0.6
12.1.1,1211,12.1.1,12.1.1
12.1.3,1213,12.1.3,12.1.3
12.2.2,1222,12.2.2,12.2.2
12.2.3,1223,12.2.3,12.2.3
12.2.4,1224,12.2.4,12.2.4
12.2.5,1225,12.2.5,12.2.5
12.2.6,1226,12.2.6,12.2.6
12.2.7,1227,12.2.7,12.2.7
12.2.8,1228,12.2.8,12.2.8
12.2.9,1229,12.2.9,12.2.9
12.2.10,12210,12.2.10,12.2.10
